,PDB,DUD-e,Split
0,6mu1,False,train
1,3t8s,False,train
2,1n4k,False,train
3,5urm,False,train
4,5urj,False,train
5,5urk,False,train
6,3eql,False,train
7,1zyr,False,train
8,3dxj,False,train
9,4wz6,False,train
10,6o2p,False,removed
11,5uah,False,train
12,5ual,False,train
13,4zh4,False,train
14,4zh3,False,train
15,4zh2,False,val
16,4xsx,False,val
17,4xsy,False,train
18,4xsz,False,train
19,4mex,False,train
20,4kn4,False,val
21,4kn7,False,train
22,4kmu,False,train
23,5uac,False,train
24,5swg,False,train
25,5sxk,False,train
26,4waf,False,train
27,5xgh,False,train
28,6gvg,False,removed
29,6gvh,False,removed
30,6oco,False,removed
31,5uk8,False,train
32,5itd,False,train
33,5ul1,False,train
34,6gvi,False,removed
35,6pys,False,removed
36,5ukj,False,train
37,6gvf,False,removed
38,4l23,False,train
39,3hhm,False,train
40,6oac,False,removed
41,6pyu,False,removed
42,4ykn,False,train
43,3zim,False,train
44,4jps,False,train
45,5dxu,False,train
46,5vlr,False,train
47,5ubt,False,train
48,4tv3,False,train
49,6pyr,False,removed
50,5dxh,False,train
51,6g6w,False,train
52,5dxt,False,train
53,6nzk,False,removed
54,6fbv,False,train
55,1t3t,False,removed
56,1i1e,False,train
57,1g9d,False,train
58,1g9a,False,train
59,1g9b,False,train
60,1g9c,False,train
61,2nm1,False,train
62,5wbk,False,train
63,5wbl,False,val
64,4xwk,False,train
65,2j9n,False,train
66,1i6v,False,train
67,1y4z,False,train
68,6en4,False,train
69,4ci1,False,train
70,4ci2,False,train
71,4ci3,False,train
72,5v3o,False,train
73,4qsh,False,val
74,4qsk,False,train
75,3mwe,False,train
76,6o0h,False,test
77,4ajw,False,train
78,6q6y,False,train
79,4v0i,False,train
80,6ftn,False,train
81,2wxf,False,train
82,5l72,False,train
83,2x38,False,train
84,6q73,False,train
85,2wxo,False,train
86,5t27,False,train
87,6gy0,False,removed
88,6dgt,False,val
89,2wxm,False,train
90,6ez6,False,train
91,2wxq,False,train
92,2wxn,False,val
93,5ngb,False,train
94,4xe0,False,train
95,5o83,False,train
96,2wxh,False,train
97,6eyz,False,train
98,5t2g,False,train
99,2wxi,False,train
100,6mul,False,removed
101,6q74,False,train
102,5t2l,False,train
103,5t2b,False,train
104,2wxl,False,train
105,6mum,False,removed
106,5t28,False,val
107,2wxp,False,train
108,5t2i,False,train
109,2wxj,False,train
110,5t2d,False,val
111,5ncz,False,train
112,2wxg,False,val
113,5t2m,False,train
114,2wxk,False,train
115,5ncy,False,train
116,1bxr,False,train
117,6ocu,False,removed
118,5m6u,False,train
119,3i3d,False,train
120,3i3b,False,train
121,3dyo,False,train
122,3t0d,False,train
123,3vdb,False,train
124,3t08,False,train
125,1px4,False,train
126,3muz,False,train
127,3t2p,False,train
128,3t2q,False,train
129,3t09,False,train
130,3mv0,False,train
131,3vd9,False,train
132,3t0b,False,train
133,3vd7,False,train
134,3vd4,False,train
135,3vdc,False,train
136,1hty,False,train
137,1qx1,False,train
138,1ps3,False,train
139,2ow6,False,train
140,2f1b,False,train
141,2f1a,False,train
142,1qwu,False,val
143,3d52,False,train
144,1hxk,False,train
145,2fyv,False,train
146,3dx1,False,train
147,2f18,False,train
148,3d51,False,train
149,3ddf,False,train
150,3d50,False,train
151,2ow7,False,train
152,3d4z,False,train
153,3d4y,False,train
154,3ddg,False,train
155,3dx3,False,train
156,2f7p,False,train
157,3ejs,False,train
158,3eju,False,train
159,3dx2,False,train
160,3dx4,False,train
161,3ejt,False,train
162,3dx0,False,train
163,2f7o,False,train
164,1hww,False,train
165,3ejp,False,train
166,3ejr,False,train
167,3ejq,False,train
168,3w5n,False,train
169,5ylv,False,train
170,5ylu,False,train
171,2x09,False,train
172,2vzr,False,train
173,3a3y,False,train
174,4amw,False,train
175,4amx,False,val
176,2x2i,False,train
177,5dhf,False,train
178,5uwj,False,train
179,5uwp,False,train
180,5uwi,False,train
181,5dif,False,train
182,5l6i,False,train
183,5l6h,False,val
184,5l6j,False,train
185,4ret,False,train
186,4res,False,train
187,3n23,False,train
188,2jbu,False,train
189,4re9,False,train
190,4ifh,False,train
191,4dtt,False,train
192,4gsc,False,train
193,4dwk,False,train
194,4gs8,False,train
195,4nxo,False,train
196,4lte,False,train
197,6byz,False,removed
198,6eds,False,removed
199,6mq3,False,removed
200,3e4a,False,train
201,2oa0,False,train
202,2o9j,False,train
203,5ncq,False,train
204,2agv,False,train
205,4ycm,False,train
206,4ycn,False,train
207,5a3r,False,train
208,4j2t,False,train
209,3nal,False,train
210,4ycl,False,train
211,3nan,False,train
212,3nam,False,removed
213,5a3q,False,train
214,5a3s,False,train
215,3n5k,False,train
216,3zvv,False,train
217,2chw,False,train
218,4g11,False,train
219,4kz0,False,train
220,5eds,False,train
221,3dpd,False,train
222,5t23,False,train
223,5jha,False,train
224,4urk,False,train
225,5jhb,False,train
226,4wwn,False,train
227,6aud,False,train
228,4gb9,False,train
229,4fjz,False,train
230,4anv,False,train
231,3qar,False,train
232,3sd5,False,train
233,2a4z,False,train
234,4wwp,False,train
235,3r7q,False,train
236,3qaq,False,train
237,5g2n,False,train
238,4aof,False,train
239,3nzs,False,train
240,3dbs,False,train
241,4ps7,False,train
242,3cst,False,removed
243,4wwo,False,train
244,3apc,False,train
245,3zw3,False,train
246,3l16,False,train
247,3prz,False,train
248,5oq4,False,train
249,4anu,False,train
250,2chx,False,train
251,3ps6,False,train
252,4anw,False,train
253,4anx,False,train
254,2chz,False,train
255,3l13,False,train
256,3tl5,False,train
257,4kzc,False,train
258,3s2a,False,train
259,2a5u,False,val
260,3l54,False,train
261,3oaw,False,train
262,4ezk,False,train
263,3l17,False,train
264,4dk5,False,train
265,4ezj,False,train
266,6c1s,False,train
267,4ezl,False,train
268,4f1s,False,train
269,4ps3,False,train
270,3qk0,False,train
271,3r7r,False,train
272,3nzu,False,train
273,4j6i,False,train
274,4ps8,False,train
275,4flh,False,train
276,3lj3,False,train
277,4hvb,False,train
278,3l08,False,train
279,2r6f,False,removed
280,5yij,False,removed
281,5j6s,False,train
282,5k1v,False,train
283,5ab0,False,removed
284,4jbs,False,removed
285,3ad7,False,train
286,3ad8,False,train
287,5im3,False,removed
288,4i2w,False,train
289,4i2z,False,train
290,4bfr,False,train
291,188l,False,train
292,187l,False,train
293,220l,False,train
294,223l,False,train
295,1l83,False,train
296,185l,False,train
297,1li6,False,train
298,1lgw,False,train
299,1li2,False,train
300,1li3,False,train
301,6aji,False,train
302,184l,False,train
303,186l,False,train
304,3run,False,train
305,6ajg,False,train
306,6ajh,False,train
307,6ajj,False,train
308,5wf7,False,train
309,5wfd,False,train
310,5wfc,False,train
311,5iee,False,train
312,2wyi,False,train
313,5hg1,False,train
314,5hfu,False,train
315,5hex,False,train
316,5m7t,False,train
317,5m7u,False,train
318,6pm9,False,removed
319,5m7s,False,train
320,5ief,False,train
321,5ieg,False,train
322,3w37,False,train
323,4z7i,False,removed
324,4ou3,False,train
325,4fkk,False,train
326,2y4s,False,train
327,4j3u,False,train
328,4fys,False,train
329,4k5p,False,train
330,4k5m,False,train
331,4k5n,False,train
332,4k5o,False,train
333,4zw5,False,train
334,4zw7,False,train
335,4k5l,False,train
336,4r5x,False,train
337,4zx6,False,train
338,4zqt,False,train
339,4zw6,False,train
340,4zw8,False,train
341,6eaa,False,train
342,6eed,False,train
343,4r5t,False,train
344,4r5v,False,train
345,4zx5,False,train
346,3q44,False,train
347,3ebh,False,train
348,6eab,False,train
349,6ea2,False,train
350,3t8v,False,train
351,6ea1,False,train
352,6ee6,False,train
353,6ee4,False,train
354,6ee3,False,val
355,3ebi,False,train
356,4zx4,False,train
357,4zx3,False,train
358,3q43,False,train
359,4zw3,False,train
360,3lpp,False,train
361,4ctk,False,train
362,5ekx,False,train
363,5eiw,False,train
364,4ctj,False,train
365,5eif,False,train
366,5ehi,False,train
367,5ehg,False,val
368,3vws,False,train
369,5f3t,False,val
370,5hn0,False,train
371,5f41,False,train
372,5f3z,False,train
373,5iq6,False,train
374,5cuq,False,train
375,3p8z,False,train
376,5hmy,False,train
377,2j7w,False,train
378,5jjs,False,train
379,5jjr,False,train
380,2vcb,False,train
381,2vc9,False,train
382,3ked,False,train
383,5mfr,False,train
384,5mfs,False,val
385,4q4e,False,train
386,4q4i,False,train
387,5mft,False,val
388,2zxg,False,train
389,2z5o,False,train
390,3rsr,False,train
391,2zlf,False,train
392,2zlg,False,train
393,4kxb,False,train
394,4kx8,False,train
395,3lq2,False,val
396,3lq4,False,val
397,3lpl,False,train
398,2qta,False,val
399,1rp7,False,train
400,6d50,False,train
401,6nzg,False,removed
402,5hv1,False,val
403,3zjt,False,removed
404,3zju,False,removed
405,3zjv,False,removed
406,5dlv,False,train
407,5inh,False,train
408,5m0d,False,train
409,3waw,False,train
410,5m0s,False,train
411,3wav,False,train
412,5lqq,False,train
413,3way,False,train
414,5olb,False,train
415,3wax,False,val
416,5m0m,False,val
417,5ohi,False,train
418,2v0c,False,train
419,2h44,True,train
420,3bjc,True,train
421,4md6,True,train
422,2h42,True,train
423,5zz2,True,train
424,1udu,True,train
425,1uho,True,train
426,1udt,True,train
427,6acb,True,train
428,6q8b,False,removed
429,6q8c,False,removed
430,6q8a,False,removed
431,6q89,False,removed
432,2qmj,False,train
433,3l4t,False,train
434,3l4w,False,train
435,3ctt,False,train
436,3l4z,False,train
437,3l4v,False,train
438,3l4x,False,train
439,3l4y,False,train
440,3l4u,False,train
441,1kc7,False,train
442,6k4r,False,removed
443,2uxx,False,train
444,3zmv,False,train
445,3zmu,False,train
446,3zn1,False,train
447,3zmt,False,train
448,3zmz,False,train
449,3abt,False,train
450,3zn0,False,train
451,4uvb,False,train
452,5lgn,False,train
453,3abu,False,train
454,4uva,False,train
455,4uv9,False,train
456,4uv8,False,train
457,4uvc,False,train
458,5yjb,False,train
459,5gut,False,train
460,5nn4,False,train
461,5nn5,False,train
462,5nn6,False,train
463,4zg6,False,train
464,5m7m,False,train
465,4zg9,False,train
466,4zga,False,train
467,5mhp,False,train
468,4zg7,False,train
469,4qme,False,train
470,4qir,False,train
471,4quo,False,train
472,4qhp,False,train
473,3csl,False,train
474,6boy,False,train
475,5wg6,False,train
476,5h14,False,train
477,5u5t,False,train
478,5h15,False,train
479,5u62,False,train
480,5h17,False,train
481,5h19,False,train
482,5gsa,False,train
483,5wuk,False,train
484,5ls6,False,train
485,5j3v,False,train
486,2xah,False,train
487,2xaj,False,train
488,2xag,False,train
489,2xaf,False,train
490,5lbq,False,train
491,5lhg,False,train
492,2xas,False,train
493,2xaq,False,train
494,5l3e,False,val
495,5l3g,False,train
496,5l3f,False,train
497,5lgt,False,train
498,5lgu,False,train
499,5lhi,False,train
500,5lhh,False,train
501,4cu8,False,train
502,4cu7,False,train
503,6nd3,False,test
504,1l5s,True,train
505,1l5q,True,train
506,1l7x,True,train
507,1l5r,True,val
508,1exv,True,train
509,1em6,True,train
510,2vo5,False,train
511,2vjx,False,train
512,2vr4,False,train
513,2vmf,False,train
514,2vqt,False,train
515,2vl4,False,train
516,2vot,False,train
517,1p2g,True,train
518,3l7d,True,train
519,3l7b,True,train
520,3l7c,True,train
521,3l79,True,train
522,4ej2,True,val
523,2pri,False,train
524,1noj,True,train
525,1nok,True,train
526,1noi,True,train
527,1axr,True,train
528,3ms4,True,train
529,3msc,True,val
530,3mrx,True,train
531,4mi9,True,train
532,1kti,True,train
533,3ms7,True,train
534,3mtd,True,train
535,4eky,True,train
536,8gpb,False,train
537,3mrt,True,train
538,3ms2,True,train
539,3mrv,True,train
540,2pyi,True,train
541,3s0j,True,train
542,3g2h,True,train
543,3npa,True,train
544,3g2l,True,train
545,1gfz,True,train
546,3np7,True,train
547,2qrm,True,train
548,3mt7,True,train
549,3g2n,True,train
550,4mi3,True,train
551,3mta,True,val
552,4mi6,True,train
553,3l7a,True,train
554,3np9,True,train
555,4mra,True,train
556,4eke,True,train
557,2prj,True,train
558,4el0,True,train
559,2qn2,True,train
560,3mt8,True,train
561,3sym,True,train
562,3nc4,True,train
563,3mt9,True,train
564,3mtb,True,val
565,1gpy,False,train
566,2qrh,True,train
567,3ebo,True,train
568,3g2j,True,train
569,2qn1,True,train
570,3t3i,True,val
571,3g2k,True,train
572,1b4d,False,train
573,6gpb,False,train
574,3g2i,True,train
575,3t3d,True,val
576,4mho,True,train
577,2qrq,True,train
578,3syr,True,train
579,2qrg,True,train
580,3bcs,True,val
581,3mqf,True,train
582,4mhs,True,train
583,4mic,True,train
584,1k06,True,val
585,1k08,True,val
586,2qnb,True,val
587,2qn3,True,train
588,4el5,True,train
589,2qln,True,train
590,3t3g,True,train
591,1ggn,True,train
592,1pyg,False,train
593,1a8i,True,train
594,7gpb,False,train
595,1e1y,True,train
596,2qlm,True,train
597,1hlf,True,val
598,3t3h,True,train
599,3ebp,True,train
600,2g9v,True,train
601,3t3e,True,train
602,1c8k,True,train
603,1z6p,True,train
604,2g9r,True,train
605,2g9u,True,train
606,2qrp,True,train
607,2g9q,True,train
608,1c50,True,train
609,2gj4,True,train
610,2off,True,train
611,1z6q,True,train
612,1h5u,True,train
613,2gm9,True,val
614,3amv,True,train
615,1c8l,True,train
616,2amv,True,train
617,3b78,False,removed
618,3b8h,False,removed
619,3b82,False,removed
620,2zit,False,removed
621,1u2r,False,train
622,3qfz,False,train
623,3qfy,False,train
624,4iie,False,train
625,4iic,False,train
626,4iif,False,train
627,4iid,False,train
628,5npe,False,train
629,5npc,False,val
630,4b9z,False,train
631,5npb,False,train
632,5i23,False,train
633,5npd,False,train
634,5i24,False,train
635,5n69,False,train
636,1jzs,False,train
637,5gmh,False,train
638,4r0a,False,train
639,4r07,False,removed
640,5wyx,False,train
641,5wyz,False,train
642,5b6c,False,train
643,5epp,False,train
644,4kod,False,removed
645,3cf1,False,removed
646,3hu3,False,train
647,3hu1,False,train
648,4ko8,False,train
649,3hu2,False,train
650,3tiw,False,train
651,4kln,False,train
652,6mck,False,removed
653,4p02,False,removed
654,4p00,False,removed
655,1m74,False,removed
656,5o0s,False,val
657,5npf,False,train
658,5ost,False,train
659,1qm5,False,train
660,4oon,False,train
661,2x24,False,train
662,4p72,False,train
663,4p75,False,train
664,4p74,False,train
665,4p73,False,train
666,5tus,False,train
667,5v9p,False,train
668,5k4l,False,train
669,5v9t,False,val
670,5ceh,False,train
671,3hfz,False,train
672,2ya7,False,train
673,2ya6,False,removed
